name,company,work_area,salary,requirements,company_type,company_size,field
Java开发工程师,湖北北斗擎天时空科技有限公司,南京-江北新区,18-22万/年,"['2年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,安徽易思捷信息技术有限公司,合肥-高新区,1-1.5万/月,"['3-4年经验', '大专']",民营公司,少于50人,计算机软件
Java中级开发工程师,上海皇家网络科技有限公司,上海-浦东新区,1.2-1.7万/月,"['3-4年经验', '大专']",民营公司,50-150人,计算机软件
Java开发工程师,慧众行知科技（北京）有限公司,成都-武侯区,1-2万/月,"['2年经验', '本科']",民营公司,150-500人,计算机软件
Java中级开发工程师,昆明迪蒙传媒科技有限公司,昆明-盘龙区,0.7-1.2万/月,"['2年经验', '大专']",民营公司,50-150人,互联网/电子商务
Java高级开发工程师,上海机场国际旅行社有限公司,上海-长宁区,1.8-2.8万/月,"['5-7年经验', '本科']",国企,500-1000人,互联网/电子商务
Java开发工程师,苏州云痕教育科技有限公司,苏州-工业园区,1.5-2.2万/月,"['5-7年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,无锡宏创盛安科技有限公司,无锡,0.8-1.5万/月,"['3-4年经验', '大专']",民营公司,50-150人,计算机软件
高级JAVA软件工程师（了解前端）,杭州物源科技有限公司,杭州-拱墅区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
java开发工程师,上海软科教育信息咨询有限公司,上海-闵行区,1.2-1.8万/月,"['1年经验', '本科']",民营公司,50-150人,专业服务(咨询、人力资源、财会)
Java开发工程师,中青联盟大数据研究（北京）有限公司,北京-朝阳区,1-2万/月,"['5-7年经验', '本科']",合资,少于50人,多元化业务集团公司
Java高级开发工程师,苏州立禾生物医学工程有限公司,苏州-工业园区,1.2-1.8万/月,"['3-4年经验', '本科']",民营公司,150-500人,医疗设备/器械
高级JAVA研发工程师,郑州宝源科技有限公司,郑州-高新区,1-1.5万/月,"['3-4年经验', '大专']",民营公司,50-150人,计算机软件
Java高级开发工程师,上海创至计算机科技股份有限公司,上海-普陀区,2-3万/月,"['5-7年经验', '本科']",民营公司,50-150人,计算机服务(系统、数据服务、维修)
Java高级开发工程师,北京海峰科技有限责任公司,北京-西城区,1.5-2万/月,"['2年经验', '大专']",民营公司,50-150人,金融/投资/证券
Java后端开发工程师,上海刀奇智能科技有限公司,淄博,0.7-1.1万/月,"['2年经验', '本科']",民营公司,少于50人,计算机软件
Java开发,杭州博彦信息技术有限公司,武汉-洪山区,1.2-1.7万/月,"['3-4年经验', '大专']",民营公司,150-500人,互联网/电子商务
Java开发工程师,上海宽睿信息科技有限责任公司,沈阳-浑南区,0.9-1.8万/月,"['2年经验', '大专']",民营公司,50-150人,计算机软件
JAVA开发工程师（济南）,上海才扬软件科技有限公司,济南,0.8-1.3万/月,"['2年经验', '大专']",民营公司,150-500人,计算机软件
Java高级开发工程师,北京利峰时代科技有限公司,北京-海淀区,1-2万/月,"['5-7年经验', '本科']",民营公司,,计算机软件
JAVA开发工程师（苏州）,上海中汇亿达金融信息技术有限公司,苏州,10-20万/年,"['3-4年经验', '本科']",合资,150-500人,金融/投资/证券
Java高级开发工程师,深圳市易图资讯股份有限公司,深圳-南山区,1.5-2.5万/月,"['3-4年经验', '大专']",国企,150-500人,房地产
Java中级工程师,国美通讯设备股份有限公司上海分公司,上海-松江区,1.5-2.5万/月,"['3-4年经验', '大专']",上市公司,500-1000人,计算机软件
JAVA开发工程师/OA工程师,深圳市恒程科技创新服务有限公司,深圳-南山区,1-1.5万/月,"['2年经验', '大专']",民营公司,150-500人,法律
Java后台开发工程师,广东槊精实业有限公司,广州-天河区,1-1.3万/月,"['3-4年经验', '大专']",民营公司,150-500人,贸易/进出口
Java高级开发工程师,重庆非科智地科技有限公司,重庆-渝北区,0.7-1.4万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
（高级）java工程师,上海好医通健康信息咨询有限公司,上海-普陀区,1.8-2.5万/月,"['3-4年经验', '本科']",民营公司,150-500人,医疗/护理/卫生
Java开发工程师,同瀚建筑科技（杭州）有限公司,杭州-拱墅区,2-2.5万/月,"['3-4年经验', '大专']",民营公司,50-150人,建筑/建材/工程
Java开发工程师,深圳市赤道供应链有限公司,深圳-南山区,0.8-1.5万/月,"['1年经验', '本科']",民营公司,50-150人,交通/运输/物流
Java研发工程师,思创医惠科技股份有限公司,杭州-余杭区,1.3-1.8万/月,"['3-4年经验', '本科']",上市公司,1000-5000人,计算机软件
java开发工程师,安徽宝葫芦信息科技集团股份有限公司,合肥,1-1.5万/月,"['3-4年经验', '本科']",民营公司,500-1000人,计算机软件
Java开发工程师,云南天成科技有限公司,昆明-五华区,0.8-1.5万/月,"['3-4年经验', '大专']",民营公司,50-150人,计算机软件
中级Java开发工程师,上海通天晓信息技术有限公司,上海-普陀区,1.2-2万/月,"['3-4年经验', '大专']",民营公司,150-500人,计算机软件
Java中级开发工程师,湖南飞鸟智能科技有限公司,长沙-岳麓区,1-1.5万/月,"['2年经验', '本科']",创业公司,少于50人,计算机服务(系统、数据服务、维修)
Java后端开发,上海挚达科技发展有限公司,上海-杨浦区,1-2万/月,"['3-4年经验', '本科']",民营公司,150-500人,汽车
高级JAVA开发工程师,苏州凌犀物联网技术有限公司,绍兴-柯桥区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,电子技术/半导体/集成电路
Java开发工程师,二元（苏州）工业科技有限公司,苏州-工业园区,1-1.8万/月,"['3-4年经验', '大专']",民营公司,50-150人,互联网/电子商务
IoT高级JAVA开发工程师,上海仁联汇智人力资源管理有限公司,上海-浦东新区,2-3.5万/月,"['5-7年经验', '本科']",民营公司,500-1000人,专业服务(咨询、人力资源、财会)
Java开发工程师,上海同道信息技术有限公司,上海-徐汇区,1-1.5万/月,"['2年经验', '大专']",民营公司,150-500人,计算机软件
高级java工程师,江苏中越科技发展有限公司,苏州-吴中区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,苏州金峰物流设备有限公司,苏州-工业园区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,仪器仪表/工业自动化
Java,北京清泉出山饮品有限公司,北京-朝阳区,0.9-2.5万/月,"['3-4年经验', '大专']",民营公司,150-500人,快速消费品(食品、饮料、化妆品)
Java开发经理,李宁（中国）体育用品有限公司,上海-黄浦区,1.5-2.5万/月,"['5-7年经验', '本科']",上市公司,5000-10000人,服装/纺织/皮革
java开发工程师（IDAAS/IAM),深圳市中悦科技有限公司,深圳-龙岗区,1.5-2.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java高级开发工程师,武汉则天互动网络科技有限公司,武汉,1-1.7万/月,"['3-4年经验', '大专']",民营公司,150-500人,互联网/电子商务
Java高级开发工程师,集海科技（深圳）有限公司,深圳-南山区,2-2.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,互联网/电子商务
Java高级开发工程师,诺姆四达集团（总部）,上海,1-2万/月,"['5-7年经验', '本科']",民营公司,150-500人,专业服务(咨询、人力资源、财会)
Java中级开发工程师,广州粤建三和软件股份有限公司,广州-天河区,0.9-1.4万/月,"['2年经验', '大专']",上市公司,150-500人,计算机软件
Java开发工程师,浙江正泰安能电力系统工程有限公司,杭州-滨江区,1-1.5万/月,"['3-4年经验', '大专']",民营公司,150-500人,新能源
Java高级开发工程师,江苏前景信息科技有限公司,南京-玄武区,1.5-2.5万/月,"['5-7年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,武汉市艾瑞世达企业管理咨询有限公司,武汉-东湖新技术产业开发区,2-2.5万/月,"['1年经验', '本科']",民营公司,少于50人,专业服务(咨询、人力资源、财会)
Java资深开发工程师,华康海宇财富管理有限公司,广州-黄埔区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,10000人以上,银行
Java中级开发工程师,深圳鲲鹏科教有限公司,深圳-宝安区,1.2-2万/月,"['3-4年经验', '本科']",民营公司,50-150人,互联网/电子商务
Java开发工程师,辽宁休洛树科技有限公司,沈阳-和平区,0.8-1万/月,['3-4年经验'],民营公司,少于50人,互联网/电子商务
Java开发工程师,上海羚驾科技有限公司,上海-闵行区,2-3.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,互联网/电子商务
Java开发工程师,上海拉谷谷时装有限公司,上海-嘉定区,6-8千/月,"['2年经验', '大专']",上市公司,1000-5000人,服装/纺织/皮革
Java开发工程师（10-15k),井冈山节穗信息科技有限公司,长沙-岳麓区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
web端java工程师,上海灵信视觉技术股份有限公司,深圳-宝安区,1.2-2万/月,"['无需经验', '本科']",民营公司,150-500人,电子技术/半导体/集成电路
JAVA系统架构师,广州销路通软件有限公司,广州-番禺区,20-30万/年,"['5-7年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,禾赛科技,上海-青浦区,2.5-3.5万/月,"['3-4年经验', '本科']",合资,500-1000人,仪器仪表/工业自动化
Java开发工程师,深圳市鸿捷源自动化系统有限公司,深圳-福田区,1.5-2万/月,['3-4年经验'],民营公司,50-150人,仪器仪表/工业自动化
Java中级开发工程师,广州远动信息技术有限公司,广州-越秀区,1.3-2万/月,"['5-7年经验', '大专']",民营公司,50-150人,电气/电力/水利
Java中级开发工程师,广东锐博软件科技有限公司,长春-朝阳区,0.9-1.3万/月,"['3-4年经验', '大专']",民营公司,150-500人,计算机软件
Java开发工程师,成都越凡创新科技有限公司,成都-郫都区,1-1.5万/月,"['2年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,无锡融卡科技有限公司,无锡-无锡新区,0.8-1.2万/月,"['2年经验', '大专']",民营公司,50-150人,计算机软件
Java开发工程师,上海云逐信息技术有限公司,上海-浦东新区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
JAVA 开发高级工程师,广东锐博人力资源服务有限公司,上海-浦东新区,1.8-2.8万/月,"['5-7年经验', '本科']",民营公司,500-1000人,专业服务(咨询、人力资源、财会)
Java开发工程师,北京政通仁和建材有限公司,重庆-江北区,0.8-1万/月,"['无需经验', '本科']",民营公司,50-150人,计算机软件
Java（全栈）开发工程师,米斯特奥福（大连）咨询服务有限公司,大连-高新园区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java开发,中汇宏飞智能科技无锡有限公司,无锡-梁溪区,1.2-2.2万/月,"['2年经验', '大专']",民营公司,50-150人,互联网/电子商务
Java高级开发工程师,北京医大时代科技发展有限公司,北京-海淀区,2-2.5万/月,"['5-7年经验', '本科']",国企,少于50人,学术/科研
Java开发工程师,工云智慧科技（江苏）有限公司,南京-江宁区,0.8-1万/月,"['2年经验', '大专']",民营公司,少于50人,计算机软件
Java开发工程师,上海脉酷信息技术有限公司,哈尔滨-香坊区,4-8千/月,"['1年经验', '大专']",民营公司,,计算机软件
中高级java开发工程师,莱月（上海）供应链管理有限公司,北京-海淀区,1.5-2.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,互联网/电子商务
Java开发工程师,深圳市丰宜科技有限公司,深圳-福田区,1.5-2.5万/月,"['3-4年经验', '本科']",外资（欧美）,150-500人,计算机软件
Java后端技术,杭州文衍实业有限公司,杭州-拱墅区,1.5-3万/月,"['5-7年经验', '大专']",民营公司,50-150人,多元化业务集团公司
Java开发工程师,深圳市华夏龙供应链管理有限公司,深圳-福田区,1-1.5万/月,"['3-4年经验', '大专']",民营公司,150-500人,交通/运输/物流
Java技术经理,盈科票据服务（深圳）有限公司,深圳-南山区,2-2.5万/月,"['5-7年经验', '大专']",民营公司,50-150人,金融/投资/证券
Java研发工程师,杭州求是健康云科技有限公司,杭州-余杭区,1.3-1.7万/月,"['3-4年经验', '大专']",民营公司,150-500人,计算机软件
Java开发工程师,上海那时快实业发展有限公司,上海-闵行区,1.2-2万/月,"['1年经验', '大专']",民营公司,50-150人,计算机软件
Java后端开发,武汉雷特科技有限公司,武汉-东湖新技术产业开发区,0.7-1.1万/月,"['2年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师w,苏州觅睿企业管理服务有限公司,上海-杨浦区,1.2-2.4万/月,"['2年经验', '本科']",外资（非欧美）,,电子技术/半导体/集成电路
Java开发工程师,深圳天源迪科信息技术股份有限公司,南宁,1.2-2万/月,"['5-7年经验', '大专']",民营公司,1000-5000人,计算机软件
开发工程师（Java方向）,艾普工华科技（武汉）有限公司,大连,0.7-1.2万/月,"['2年经验', '本科']",民营公司,150-500人,计算机软件
Java开发工程师,冰魄（大连）科技发展有限公司,大连-高新园区,6-8千/月,"['1年经验', '本科']",民营公司,150-500人,互联网/电子商务
Java开发工程师,易构智能科技（广州）有限公司,广州-天河区,0.8-1.6万/月,"['3-4年经验', '本科']",民营公司,少于50人,医疗/护理/卫生
Java高级开发工程师,上海上业信息科技股份有限公司,上海-闵行区,1.5-2.5万/月,"['5-7年经验', '大专']",民营公司,150-500人,计算机软件
Java开发工程师（外派世界五百强企业工作）,深圳烨云信息技术有限公司,成都-郫都区,0.8-1.5万/月,"['2年经验', '大专']",民营公司,150-500人,计算机软件
java 开发工程师,厦门赛摩积硕科技有限公司,厦门-思明区,0.6-1.2万/月,"['1年经验', '大专']",上市公司,50-150人,仪器仪表/工业自动化
Java 开发经理,广州众时信息科技有限公司,广州-天河区,1.8-2万/月,['5-7年经验'],民营公司,50-150人,计算机软件
高级Java研发工程师,上海理想信息产业（集团）有限公司,上海-浦东新区,1.8-2.2万/月,"['3-4年经验', '大专']",国企,500-1000人,通信/电信运营、增值服务
Java架构师(J10274),上海百胜软件股份有限公司,上海,3-4万/月,"['5-7年经验', '本科']",上市公司,500-1000人,计算机软件
Java开发工程师,浙江用友软件有限公司,杭州,0.8-1万/月,"['3-4年经验', '本科']",上市公司,150-500人,计算机软件
Java开发工程师,东莞市碧海网络科技有限公司,东莞-东城区,5-8千/月,"['1年经验', '本科']",民营公司,少于50人,计算机软件
web工程师/java工程师,深圳市乐有家控股集团有限公司,长沙,0.8-1万/月,"['3-4年经验', '本科']",民营公司,,房地产
高级Java开发工程师,广东卓纬科技有限公司,广州-天河区,2-3.5万/月,"['5-7年经验', '本科']",民营公司,500-1000人,通信/电信运营、增值服务
Java高级开发工程师,广州华南教育科技发展有限公司,广州,1-1.8万/月,"['5-7年经验', '大专']",民营公司,50-150人,计算机软件
java全栈开发工程师,广东汉邦激光科技有限公司,中山,1.5-2万/月,"['3-4年经验', '本科']",民营公司,50-150人,仪器仪表/工业自动化
Java开发工程师,盛辉物流集团有限公司,武汉-东西湖区,4-8千/月,[],民营公司,5000-10000人,交通/运输/物流
Java,山西玖邦科技有限公司西安分公司,西安-雁塔区,0.7-1万/月,"['2年经验', '大专']",民营公司,少于50人,计算机软件
Java架构师,上海亘岩网络科技有限公司,上海-闵行区,3.5-6万/月,"['5-7年经验', '本科']",民营公司,500-1000人,计算机软件
Java开发工程师,前海电商（深圳）供应链集团有限公司,深圳-南山区,1-1.5万/月,"['3-4年经验', '大专']",民营公司,50-150人,互联网/电子商务
Java开发工程师(中级）,福建大智网络科技有限公司,厦门-思明区,0.9-1.5万/月,"['2年经验', '大专']",民营公司,50-150人,计算机软件
泛微OA开发分部经理（Java）,上海积塔半导体有限公司,上海-浦东新区,2-2.5万/月,"['5-7年经验', '大专']",国企,1000-5000人,电子技术/半导体/集成电路
JAVA技术主管,江苏科佳软件开发有限公司,常州,0.8-1.5万/月,"['3-4年经验', '大专']",民营公司,50-150人,计算机软件
JAVA后端开发工程师,佛山市新东方电子技术工程有限公司,佛山,0.8-1.5万/月,"['1年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,重庆诺怀软件有限公司,重庆,0.7-1万/月,"['2年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,杭州远传新业科技有限公司,北京-海淀区,1.5-2万/月,"['5-7年经验', '本科']",民营公司,1000-5000人,计算机软件
JAVA开发工程师,江苏飞力达国际物流股份有限公司,昆山,0.5-1万/月,"['1年经验', '大专']",上市公司,1000-5000人,交通/运输/物流
Java开发工程师,深圳大中华国际酒店管理有限公司,深圳-福田区,1.5-2万/月,"['3-4年经验', '本科']",民营公司,50-150人,酒店/旅游
Java工程师,成都科达光电技术有限责任公司,成都-天府新区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,昆山炫生活信息技术股份有限公司,上海-浦东新区,1-2万/月,"['2年经验', '大专']",民营公司,50-150人,互联网/电子商务
Software Engineer (Java),成都敏途科技有限公司,成都-高新区,0.6-1.5万/月,"['2年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,金卡智能集团股份有限公司,杭州,1.5-2万/月,"['3-4年经验', '本科']",上市公司,1000-5000人,仪器仪表/工业自动化
JAVA中级软件工程师-安亭,上海原质信息技术有限公司,上海-嘉定区,1.5-2万/月,"['2年经验', '大专']",民营公司,少于50人,电子技术/半导体/集成电路
Java开发工程师,深圳市赛柏特通信技术有限公司,深圳-南山区,1.2-2万/月,"['3-4年经验', '本科']",合资,150-500人,通信/电信运营、增值服务
JAVA工程师,成都中科创达软件有限公司,成都-双流区,1.2-2万/月,"['3-4年经验', '本科']",上市公司,10000人以上,计算机软件
Java中级开发工程师,湖北东方网盾信息安全技术有限公司,武汉-江汉区,0.8-1万/月,"['2年经验', '大专']",民营公司,50-150人,计算机服务(系统、数据服务、维修)
Java开发工程师（网政）,广州市番禺区科骏信息网络工程有限公司,广州-番禺区,5-9千/月,"['2年经验', '大专']",国企,少于50人,计算机服务(系统、数据服务、维修)
Java开发工程师,上海非住网络科技有限公司,上海-普陀区,1-1.5万/月,"['2年经验', '本科']",民营公司,50-150人,酒店/旅游
Java开发工程师,泉州市丰泽区福谷软件有限公司,泉州-丰泽区,6-8千/月,"['1年经验', '大专']",民营公司,50-150人,计算机软件
JAVA工程师,杭州望达科技有限公司,杭州-余杭区,1.5-2.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
JAVA开发/.net开发,台州金软软件有限公司,台州,10-15万/年,"['1年经验', '大专']",民营公司,50-150人,计算机软件
Java开发工程师,荣耀终端有限公司,南京-雨花台区,2-4万/月,"['3-4年经验', '本科']",民营公司,5000-10000人,计算机软件
Java开发工程师,北京南北天地科技股份有限公司,北京-海淀区,1-1.6万/月,"['3-4年经验', '本科']",民营公司,150-500人,计算机软件
Java开发工程师,北京中海汇通科技有限公司,北京,0.8-1.5万/月,"['3-4年经验', '大专']",外资（非欧美）,150-500人,仪器仪表/工业自动化
Java开发工程师,宁波浙鼎教育科技有限公司,宁波-海曙区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,电子技术/半导体/集成电路
Java开发工程师,珠江钢琴艺术中心,福州-台江区,6-8千/月,"['3-4年经验', '大专']",合资,150-500人,教育/培训/院校
Java开发工程师,云南这里信息技术有限公司,昆明-盘龙区,0.8-1.2万/月,"['2年经验', '大专']",民营公司,50-150人,计算机软件
Java开发工程师,上海恺擎智能科技有限公司,上海-闵行区,0.7-1.5万/月,"['无需经验', '本科']",民营公司,少于50人,计算机软件
Java资深开发工程师,成都高阳信息技术有限公司,成都-武侯区,1-1.5万/月,"['2年经验', '本科']",民营公司,少于50人,电子技术/半导体/集成电路
Java软件工程师,麟盛（广东）智能科技股份有限公司,珠海,0.8-1.2万/月,"['1年经验', '大专']",民营公司,50-150人,电子技术/半导体/集成电路
Java高级开发工程师,广东迅维信息产业股份有限公司,广州-天河区,2-3.5万/月,"['5-7年经验', '大专']",民营公司,150-500人,计算机软件
Java初级开发工程师（接受应届生）,广东艾科技术股份有限公司,佛山-南海区,0.8-1.2万/月,"['1年经验', '本科']",民营公司,50-150人,电子技术/半导体/集成电路
Java软件开发工程师,上海卓宇信息技术有限公司,上海,15-25万/年,"['2年经验', '本科']",民营公司,150-500人,计算机软件
Java开发工程师（大数据方向）,常州巨细信息科技有限公司,苏州,1-1.5万/月,"['3-4年经验', '本科']",民营公司,150-500人,计算机软件
Java高级开发工程师,南京宁汇智能科技有限公司,南京-江宁区,1.1-2万/月,"['3-4年经验', '本科']",民营公司,少于50人,电子技术/半导体/集成电路
Java开发工程师,天创时尚,广州-天河区,1.5-2.5万/月,"['3-4年经验', '本科']",合资,10000人以上,服装/纺织/皮革
Java中级开发工程师,广州映博智能科技有限公司,广州-天河区,1.2-1.8万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
高级开发工程师（JAVA）,顿力集团有限公司,杭州,1.5-2万/月,"['3-4年经验', '本科']",民营公司,1000-5000人,机械/设备/重工
Java高级开发工程师,至简数科农业有限公司,成都-高新区,1.5-2.5万/月,"['5-7年经验', '本科']",民营公司,少于50人,互联网/电子商务
Java开发工程师（产品研发中心）,学透通医疗科技（上海）有限公司,上海-静安区,1.2-2.3万/月,"['3-4年经验', '大专']",合资,150-500人,医疗/护理/卫生
Java工程师,上海瑞达利企业管理咨询有限公司,上海-浦东新区,0.8-1.3万/月,"['3-4年经验', '本科']",民营公司,50-150人,专业服务(咨询、人力资源、财会)
JAVA开发工程师,深圳市安软科技股份有限公司,天津-河西区,1.5-1.8万/月,"['1年经验', '本科']",上市公司,50-150人,计算机软件
Java高级开发工程师,深圳市安华计算机有限公司,深圳-南山区,1.2-1.6万/月,"['5-7年经验', '大专']",民营公司,50-150人,计算机服务(系统、数据服务、维修)
Java开发工程师,深圳欧税通技术有限公司,深圳-南山区,1.2-2万/月,"['3-4年经验', '大专']",外资（非欧美）,50-150人,计算机软件
Java开发工程师,深圳领先未来电子商务有限公司,深圳-龙华区,1-2万/月,"['3-4年经验', '本科']",民营公司,50-150人,互联网/电子商务
Java开发工程师,深圳市金文网络科技有限公司,杭州-上城区,0.8-1.5万/月,"['2年经验', '大专']",民营公司,150-500人,互联网/电子商务
Java高级开发工程师,上海望达企业管理有限公司,上海,2-2.5万/月,"['2年经验', '本科']",民营公司,少于50人,专业服务(咨询、人力资源、财会)
Java开发工程师,上海爱信诺航天信息有限公司,上海,10-15万/年,"['1年经验', '本科']",国企,150-500人,计算机软件
java 开发工程师 （功能开发）,深圳市数帝网络科技有限公司,深圳-龙华区,1.5-2万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师(2021-5G消息-CSP),中移互联网有限公司,广州,2-2.5万/月,"['3-4年经验', '本科']",国企,500-1000人,互联网/电子商务
Java开发工程师,上海达恩贝拉环境科技发展有限公司,上海-浦东新区,1.2-1.8万/月,"['3-4年经验', '本科']",民营公司,50-150人,专业服务(咨询、人力资源、财会)
Java开发工程师&项目经理,无锡真源科技有限公司,无锡,0.8-1.3万/月,"['3-4年经验', '大专']",民营公司,50-150人,电子技术/半导体/集成电路
Java架构师（互联网方向）,上海数展文化创意有限公司,上海-闵行区,1.5-2.7万/月,"['5-7年经验', '本科']",民营公司,50-150人,计算机软件
Java开发实习生,成都零牛科技有限公司,成都-武侯区,4.5-6千/月,"['无需经验', '大专']",民营公司,,计算机软件
高薪Java开发工程师早九晚六不加班,四川顶牛人力资源有限公司,成都-武侯区,1.5-2.5万/月,"['3-4年经验', '大专']",民营公司,少于50人,计算机软件
Java开发工程师（双休）,小雨伞保险经纪有限公司,深圳-南山区,1.5-2.5万/月,"['3-4年经验', '本科']",民营公司,500-1000人,互联网/电子商务
Java+安卓开发工程师,深圳茂业商厦有限公司,深圳-罗湖区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,10000人以上,批发/零售
Java高级开发工程师,航木（上海）信息科技有限公司,上海-黄浦区,2.4-3.6万/月,"['3-4年经验', '本科']",民营公司,少于50人,互联网/电子商务
Java开发工程师,诚迈科技（南京）股份有限公司,武汉-东湖新技术产业开发区,1-2万/月,"['2年经验', '大专']",外资（欧美）,1000-5000人,计算机软件
Java开发工程师,上海数银科技有限公司长沙分公司,长沙-岳麓区,6-8千/月,"['2年经验', '本科']",民营公司,少于50人,计算机软件
高级java开发工程师,广东港鑫科技有限公司,广州,0.9-1.5万/月,"['3-4年经验', '大专']",民营公司,50-150人,计算机软件
（双休餐补）Java开发工程师,南京问持新能源科技有限公司,南京-秦淮区,0.5-1万/月,"['无需经验', '大专']",民营公司,150-500人,新能源
Java架构师,微知网络科技（上海）有限公司,武汉-江夏区,2-4万/月,"['5-7年经验', '大专']",民营公司,150-500人,互联网/电子商务
java服务器开发工程师,广州欧亚迪斯科技有限公司,广州-黄埔区,0.9-1.5万/月,"['2年经验', '大专']",民营公司,50-150人,计算机软件
Java金融软件开发工程师,北京科蓝软件系统股份有限公司,苏州-工业园区,1-1.5万/月,"['无需经验', '本科']",上市公司,5000-10000人,计算机软件
JAVA开发工程师(J10756),上海聚胜万合广告有限公司,深圳-南山区,1.5-2万/月,"['3-4年经验', '大专']",民营公司,150-500人,互联网/电子商务
Java开发工程师,上海西井信息科技有限公司,天津-滨海新区,1.2-2万/月,"['2年经验', '本科']",民营公司,150-500人,交通/运输/物流
软件开发工程师（JAVA方向-中级）,重庆顺利科技有限公司,重庆-九龙坡区,0.7-1.2万/月,"['3-4年经验', '大专']",民营公司,50-150人,建筑/建材/工程
Java开发工程师,广东邦健医药连锁有限公司,肇庆,6-8千/月,"['2年经验', '大专']",民营公司,1000-5000人,医疗/护理/卫生
JAVA软件开发工程师（武汉）,上海华讯网络系统有限公司,武汉-江岸区,0.9-1.8万/月,"['2年经验', '本科']",国企,1000-5000人,计算机服务(系统、数据服务、维修)
Java中级开发工程师,北京国研数通软件技术有限公司南京分公司,南京-建邺区,0.6-1万/月,"['2年经验', '大专']",国企,少于50人,计算机软件
Java高级开发工程师,杭州千树梨人力资源服务有限公司,杭州-江干区,20-25万/年,"['3-4年经验', '本科']",民营公司,少于50人,专业服务(咨询、人力资源、财会)
Java开发工程师,厚普清洁能源股份有限公司,成都,0.8-1.5万/月,"['2年经验', '大专']",上市公司,500-1000人,机械/设备/重工
Java开发工程师,上海贝塔斯曼欧唯特信息服务有限公司,上海-静安区,1.4-1.9万/月,"['3-4年经验', '本科']",外资（欧美）,1000-5000人,多元化业务集团公司
初级Java开发工程师/Java实习生,南京市秦淮区巩向明软件开发工作室,南京-雨花台区,5-8千/月,"['无需经验', '大专']",民营公司,150-500人,计算机软件
Java开发工程师,上海迈睿数智营销服务有限公司,上海-静安区,1.5-2万/月,"['3-4年经验', '大专']",外资（欧美）,1000-5000人,多元化业务集团公司
Java开发工程师,上海科技绿洲发展有限公司,上海-闵行区,30-40万/年,"['5-7年经验', '本科']",国企,500-1000人,专业服务(咨询、人力资源、财会)
Java软件开发工程师,苏州东辉光学有限公司,苏州-工业园区,1-2万/月,"['2年经验', '本科']",民营公司,150-500人,通信/电信/网络设备
Java高级开发工程师,聚思鸿信息技术服务（大连）有限公司,大连-沙河口区,1-1.8万/月,"['5-7年经验', '大专']",外资（欧美）,5000-10000人,外包服务
Java开发工程师,南京未来网络产业创新有限公司,南京-江宁区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,成都网安科技发展有限公司,成都-青羊区,0.5-1万/月,"['2年经验', '大专']",民营公司,150-500人,计算机软件
JAVA全栈工程师,杭州世平信息科技有限公司,杭州-西湖区,1-1.5万/月,"['无需经验', '本科']",民营公司,50-150人,计算机服务(系统、数据服务、维修)
Java开发工程师,湖南机械之家信息科技有限公司,长沙-岳麓区,0.8-1.5万/月,"['3-4年经验', '本科']",民营公司,150-500人,互联网/电子商务
Java开发工程师,北京臻惠康生物科技有限公司,深圳-南山区,1.8-2.8万/月,"['3-4年经验', '本科']",民营公司,少于50人,制药/生物工程
JAVA开发项目经理,深圳市晨行科技有限公司,深圳-福田区,2-3万/月,"['5-7年经验', '本科']",民营公司,,计算机软件
Java开发工程师,浙江水木物联技术有限公司,杭州-萧山区,1.8-3万/月,"['3-4年经验', '本科']",民营公司,50-150人,通信/电信/网络设备
